,p,i,q,P,D,Q,score
654,2,2,0,1,0,2,0.0229654022617074
337,1,1,0,1,2,0,-0.016235890449416424
445,1,2,1,1,2,0,-0.07642149663345288
429,1,2,0,2,2,2,-0.09948795705034752
411,1,2,0,0,2,2,-0.13340147347796583
194,0,2,1,0,2,0,-0.14607277555536569
420,1,2,0,1,2,2,-0.16206232885159944
87,0,1,0,0,2,0,-0.18004111391203126
709,2,2,2,1,2,0,-0.19398672923154603
579,2,1,0,1,2,0,-0.219511356255516
243,1,0,0,0,0,2,-0.24204969906973228
270,1,0,1,0,0,2,-0.25995985464067006
685,2,2,1,1,2,0,-0.2718812374339743
486,2,0,0,0,0,2,-0.27669897587974845
297,1,0,2,0,0,2,-0.2877980835505711
459,1,2,2,0,0,2,-0.41386996574589885
513,2,0,1,0,0,2,-0.433787698973747
56,0,0,2,0,0,2,-0.46807859600215473
242,1,0,0,0,0,1,-0.5092656912014151
29,0,0,1,0,0,2,-0.5239233349910177
540,2,0,2,0,0,2,-0.5242365546777263
324,1,1,0,0,0,2,-0.5274794743646283
110,0,1,1,0,0,2,-0.5334606609631953
83,0,1,0,0,0,2,-0.5482973180385633
432,1,2,1,0,0,2,-0.601238355728408
269,1,0,1,0,0,1,-0.621274347729329
190,0,2,1,0,0,2,-0.6217050918233975
2,0,0,0,0,0,2,-0.6257325744538764
351,1,1,1,0,0,2,-0.6267814277458701
241,1,0,0,0,0,0,-0.6713728270451629
296,1,0,2,0,0,1,-0.706191398804831
485,2,0,0,0,0,1,-0.7954879569528128
55,0,0,2,0,0,1,-0.8727188198548812
268,1,0,1,0,0,0,-0.9086323273970731
28,0,0,1,0,0,1,-0.9373826025812373
566,2,1,0,0,0,2,-0.951565665447166
1,0,0,0,0,0,1,-0.9565494344480656
